frame,t_ms,frame_ms,process_ms,physics_ms,live_swarm
566,3905.90,6.896,5.438,0.467,9918
567,3912.87,6.896,5.438,0.467,9945
568,3919.64,6.896,5.438,0.467,9973
569,3926.59,6.896,5.438,0.467,9955
570,3933.73,6.896,5.438,0.467,9950
571,3940.36,6.896,5.438,0.467,9936
572,3947.55,6.896,5.438,0.467,9908
573,3954.20,6.896,5.438,0.467,9898
574,3960.94,6.896,5.438,0.467,9925
575,3968.32,6.896,5.438,0.467,9953
576,3975.27,6.896,5.438,0.467,9976
577,3982.11,6.896,5.438,0.467,9958
578,3988.63,6.896,5.438,0.467,9940
579,3995.91,6.896,5.438,0.467,9933
580,4002.47,6.896,5.438,0.467,9915
581,4009.42,6.896,5.438,0.467,9919
582,4016.73,6.896,5.438,0.467,9947
583,4023.20,6.896,5.438,0.467,9975
584,4030.51,6.896,5.438,0.467,9988
585,4036.94,6.896,5.438,0.467,9969
586,4043.93,6.896,5.438,0.467,9955
587,4051.05,6.896,5.438,0.467,9936
588,4057.65,6.896,5.438,0.467,9915
589,4064.74,6.896,5.438,0.467,9921
590,4071.38,6.896,5.438,0.467,9949
591,4079.24,6.896,5.438,0.467,9976
592,4085.33,6.896,5.438,0.467,9986
593,4092.33,6.896,5.438,0.467,9955
594,4099.27,6.896,5.438,0.467,9950
595,4106.06,6.896,5.438,0.467,9916
596,4113.18,6.896,5.438,0.467,9897
597,4119.77,6.896,5.438,0.467,9909
598,4126.55,6.896,5.438,0.467,9936
599,4133.68,6.896,5.438,0.467,9964
600,4140.62,6.896,5.438,0.467,9965
601,4147.88,6.896,5.438,0.467,9956
602,4154.35,6.896,5.438,0.467,9931
603,4161.17,6.896,5.438,0.467,9923
604,4168.47,6.896,5.438,0.467,9912
605,4174.93,6.896,5.438,0.467,9930
606,4182.63,6.896,5.438,0.467,9958
607,4188.65,6.896,5.438,0.467,9986
608,4195.94,6.896,5.438,0.467,9966
609,4202.65,6.896,5.438,0.467,9948
610,4209.52,6.896,5.438,0.467,9932
611,4216.74,6.896,5.438,0.467,9916
612,4223.29,6.896,5.438,0.467,9913
613,4230.40,6.896,5.438,0.467,9940
614,4236.95,6.896,5.438,0.467,9968
615,4244.04,6.896,5.438,0.467,9986
616,4251.07,6.896,5.438,0.467,9949
617,4257.76,6.896,5.438,0.467,9917
618,4265.10,6.896,5.438,0.467,9899
619,4271.71,6.896,5.438,0.467,9900
620,4278.70,6.896,5.438,0.467,9896
621,4285.69,6.896,5.438,0.467,9924
622,4292.35,6.896,5.438,0.467,9951
623,4299.72,6.896,5.438,0.467,9968
624,4306.04,6.896,5.438,0.467,9929
625,4313.23,6.896,5.438,0.467,9920
626,4319.76,6.896,5.438,0.467,9906
627,4326.87,6.896,5.438,0.467,9890
628,4333.90,6.896,5.438,0.467,9898
629,4340.50,6.896,5.438,0.467,9925
630,4347.76,6.896,5.438,0.467,9953
631,4354.34,6.896,5.438,0.467,9956
632,4361.28,6.896,5.438,0.467,9935
633,4368.60,6.896,5.438,0.467,9915
634,4375.08,6.896,5.438,0.467,9892
635,4382.18,6.896,5.438,0.467,9885
636,4389.36,6.896,5.438,0.467,9899
637,4396.21,6.896,5.438,0.467,9926
